Date,cases_new,cases_total,cases_relative,deaths_new,deaths_total,deaths_relative
2019-12-31,27,27,3.614392775158475e-09,0,0,0.0
2020-01-01,0,27,3.614392775158475e-09,0,0,0.0
2020-01-02,0,27,3.614392775158475e-09,0,0,0.0
2020-01-03,17,44,5.890121559517515e-09,0,0,0.0
2020-01-04,0,44,5.890121559517515e-09,0,0,0.0
2020-01-05,15,59,7.898117545716668e-09,0,0,0.0
2020-01-06,0,59,7.898117545716668e-09,0,0,0.0
2020-01-07,0,59,7.898117545716668e-09,0,0,0.0
2020-01-08,0,59,7.898117545716668e-09,0,0,0.0
2020-01-09,0,59,7.898117545716668e-09,0,0,0.0
2020-01-10,0,59,7.898117545716668e-09,0,0,0.0
2020-01-11,0,59,7.898117545716668e-09,1,1,0.01694915254237288
2020-01-12,0,59,7.898117545716668e-09,0,1,0.01694915254237288
2020-01-13,1,60,8.031983944796611e-09,0,1,0.016666666666666666
2020-01-14,0,60,8.031983944796611e-09,0,1,0.016666666666666666
2020-01-15,1,61,8.165850343876555e-09,1,2,0.03278688524590164
2020-01-16,0,61,8.165850343876555e-09,0,2,0.03278688524590164
2020-01-17,5,66,8.835182339276272e-09,0,2,0.030303030303030304
2020-01-18,17,83,1.1110911123635312e-08,0,2,0.024096385542168676
2020-01-19,136,219,2.931674139850763e-08,1,3,0.0136986301369863
2020-01-20,20,239,3.19940693801065e-08,0,3,0.012552301255230125
2020-01-21,153,392,5.247562843933786e-08,3,6,0.015306122448979591
2020-01-22,142,534,7.148465710868985e-08,11,17,0.031835205992509365
2020-01-23,97,631,8.446969781944436e-08,0,17,0.02694136291600634
2020-01-24,266,897,1.2007815997470934e-07,9,26,0.028985507246376812
2020-01-25,453,1350,1.8071963875792376e-07,15,41,0.03037037037037037
2020-01-26,673,2023,2.7081172533872576e-07,15,56,0.02768166089965398
2020-01-27,797,2820,3.7750324540544074e-07,25,81,0.02872340425531915
2020-01-28,1767,4587,6.140451725797009e-07,25,106,0.023108785698713757
2020-01-29,1480,6067,8.121674432180174e-07,26,132,0.021757046316136477
2020-01-30,1756,7823,1.047236840002398e-06,38,170,0.021730793813115174
2020-01-31,2003,9826,1.3153712373595251e-06,43,213,0.021677182983920212
2020-02-01,2120,11946,1.5991680034090053e-06,46,259,0.021680897371505106
2020-02-02,2608,14554,1.948291572209498e-06,46,305,0.020956438092620586
2020-02-03,2818,17372,2.325527084816779e-06,57,362,0.02083813032466037
2020-02-04,3243,20615,2.7596558170330357e-06,65,427,0.02071307300509338
2020-02-05,3907,24522,3.282671838238375e-06,66,493,0.020104396052524263
2020-02-06,3751,28273,3.784804701187243e-06,72,565,0.019983730060481732
2020-02-07,3218,31491,4.2155867734265015e-06,73,638,0.02025975675589851
2020-02-08,3442,34933,4.676354919059667e-06,86,724,0.02072538860103627
2020-02-09,2619,37552,5.026951018250039e-06,89,813,0.021649978696207925
2020-02-10,2988,40540,5.4269438187009104e-06,97,910,0.022446965959546126
2020-02-11,2565,43105,5.770311132340965e-06,108,1018,0.023616749797007307
2020-02-12,2072,45177,6.047682311234608e-06,97,1115,0.024680700356376033
2020-02-13,15151,60328,8.075892123694833e-06,255,1370,0.02270918976263095
2020-02-14,4215,64543,8.640138995816794e-06,13,1383,0.02142757541483972
2020-02-15,2560,67103,8.98283697746145e-06,144,1527,0.022756061576978674
2020-02-16,2162,69265,9.272256132272288e-06,142,1669,0.024095863711831374
2020-02-17,2067,71332,9.548957979170531e-06,106,1775,0.024883642684909998
2020-02-18,1995,73327,9.816021445335019e-06,98,1873,0.025543115087212076
2020-02-19,1864,75191,1.0065548413220033e-05,139,2012,0.02675852163157825
2020-02-20,532,75723,1.0136765337530563e-05,116,2128,0.028102425947202303
2020-02-21,996,76719,1.0270096271014188e-05,119,2247,0.029288702928870293
2020-02-22,1085,77804,1.0415341314015926e-05,112,2359,0.030319777903449693
2020-02-23,1008,78812,1.055027864428851e-05,104,2463,0.03125158605288535
2020-02-24,527,79339,1.0620826236603639e-05,156,2619,0.03301024716721915
2020-02-25,793,80132,1.0726982291074034e-05,79,2698,0.03366944541506514
2020-02-26,863,80995,1.0842508993480026e-05,64,2762,0.03410087042410025
2020-02-27,1106,82101,1.0990565230862444e-05,38,2800,0.03410433490456876
2020-02-28,1264,83365,1.1159772359299492e-05,57,2857,0.03427097702872908
2020-02-29,1838,85203,1.1405818800808427e-05,64,2921,0.03428283041676936
2020-03-01,1821,87024,1.1649589513533005e-05,58,2979,0.0342319360176503
2020-03-02,2044,89068,1.192321243325241e-05,67,3046,0.03419858984146944
2020-03-03,1596,90664,1.2136863206183999e-05,72,3118,0.03439071737404041
2020-03-04,2413,93077,1.2459882827163904e-05,84,3202,0.034401624461467384
2020-03-05,2239,95316,1.2759609694703898e-05,80,3282,0.03443283394183558
2020-03-06,2856,98172,1.3141932130476216e-05,103,3385,0.03448029988184004
2020-03-07,3961,102133,1.3672176937231872e-05,103,3488,0.03415154749199573
2020-03-08,3691,105824,1.4166277816235943e-05,97,3585,0.03387700332627759
2020-03-09,3871,109695,1.4684474647074405e-05,229,3814,0.034769132594922286
2020-03-10,4537,114232,1.5291826499700107e-05,209,4023,0.03521780236711254
2020-03-11,4378,118610,1.58778935948721e-05,269,4292,0.036185819070904644
2020-03-12,6887,125497,1.6799831485335672e-05,326,4618,0.036797692375116535
2020-03-13,8355,133852,1.79182852496486e-05,351,4969,0.03712309117532797
2020-03-14,9375,143227,1.917328274102307e-05,438,5407,0.03775126198272672
2020-03-15,8140,151367,2.0262955229533812e-05,354,5761,0.03805981488699651
2020-03-16,16051,167418,2.2411644801165985e-05,745,6506,0.03886081544397854
2020-03-17,12678,180096,2.410880300870151e-05,596,7102,0.03943452380952381
2020-03-18,14740,194836,2.6081993731139876e-05,789,7891,0.0405007288180829
2020-03-19,18314,213150,2.8533622963889963e-05,951,8842,0.0414825240441004
2020-03-20,29214,242364,3.244439594661143e-05,1041,9883,0.04077750821079038
2020-03-21,28742,271106,3.6291983988967166e-05,1366,11249,0.04149299535974858
2020-03-22,34011,305117,4.084491408807513e-05,1690,12939,0.04240668333786711
2020-03-23,33016,338133,4.526464712009854e-05,1660,14599,0.04317531858765634
2020-03-24,39785,377918,5.059052180749409e-05,1764,16363,0.04329775242248318
2020-03-25,38927,416845,5.580153912447906e-05,2200,18563,0.04453214024397558
2020-03-26,51204,468049,6.265603422296848e-05,2426,20989,0.04484359543552064
2020-03-27,59718,527767,7.065026784322455e-05,2681,23670,0.04484933692330138
2020-03-28,63937,591704,7.92092838011989e-05,3318,26988,0.04561064315941755
2020-03-29,65162,656866,8.793228609804618e-05,3461,30449,0.04635496433062451
2020-03-30,58487,715353,9.576173018103484e-05,3125,33574,0.04693347200612844
2020-03-31,62445,777798,0.00010412101747158191,3698,37272,0.047919896939822425
